SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit
9/11/1990,9:44:00,7.8,4.5,4.5,1,M ,ISM,M1,PH,,8.1,SU
9/11/1990,9:44:00,7.8,4.5,4.5,2,M ,ISM,M1,PH,,8,SU
9/11/1990,9:44:00,7.8,4.5,4.5,3,AP,ISM,M1,PH,,7.9,SU
9/11/1990,9:44:00,7.8,4.5,4.5,4,M ,ISM,M1,PH,,7.8,SU
9/11/1990,9:44:00,7.8,4.5,4.5,5,M ,ISM,M1,PH,,7.6,SU
9/11/1990,9:44:00,7.8,4.5,4.5,6,BP,ISM,M1,PH,,7.6,SU
9/11/1990,9:44:00,7.8,4.5,4.5,6.8,B ,ISM,M1,PH,,7.6,SU
9/25/1990,11:07:00,7.5,,,0.5,S ,ISM,M1,PH,,8.1,SU
9/25/1990,11:07:00,7.5,,,1,M ,ISM,M1,PH,,8.1,SU
9/25/1990,11:07:00,7.5,,,2,AP,ISM,M1,PH,,8,SU
9/25/1990,11:07:00,7.5,,,3,M ,ISM,M1,PH,,8,SU
9/25/1990,11:07:00,7.5,,,4,M ,ISM,M1,PH,,8,SU
9/25/1990,11:07:00,7.5,,,5,BP,ISM,M1,PH,,8,SU
9/25/1990,11:07:00,7.5,,,6,M ,ISM,M1,PH,,8,SU
9/25/1990,11:07:00,7.5,,,6.5,B ,ISM,M1,PH,,8,SU
10/16/1990,9:55:00,7.2,,,5,M ,ISM,M1,PH,,7.9,SU
10/16/1990,9:55:00,7.2,,,6.2,B ,ISM,M1,PH,,7.9,SU
10/16/1990,9:55:00,7.2,,,0.5,S ,ISM,M1,PH,,8,SU
10/16/1990,9:55:00,7.2,,,1,M ,ISM,M1,PH,,8,SU
10/16/1990,9:55:00,7.2,,,2,AP,ISM,M1,PH,,8,SU
10/16/1990,9:55:00,7.2,,,3,M ,ISM,M1,PH,,8,SU
10/16/1990,9:55:00,7.2,,,4,BP,ISM,M1,PH,,8,SU
10/30/1990,10:42:00,7.8,1.5,1.5,0.5,AP,ISM,M1,PH,,7.9,SU
10/30/1990,10:42:00,7.8,1.5,1.5,0.5,S ,ISM,M1,PH,,7.9,SU
10/30/1990,10:42:00,7.8,1.5,1.5,1,M ,ISM,M1,PH,,7.9,SU
10/30/1990,10:42:00,7.8,1.5,1.5,2,M ,ISM,M1,PH,,7.9,SU
10/30/1990,10:42:00,7.8,1.5,1.5,3,BP,ISM,M1,PH,,7.9,SU
10/30/1990,10:42:00,7.8,1.5,1.5,4,M ,ISM,M1,PH,,7.9,SU
10/30/1990,10:42:00,7.8,1.5,1.5,5,M ,ISM,M1,PH,,7.9,SU
10/30/1990,10:42:00,7.8,1.5,1.5,6,M ,ISM,M1,PH,,7.9,SU
10/30/1990,10:42:00,7.8,1.5,1.5,6.8,B ,ISM,M1,PH,,7.9,SU
11/14/1990,11:10:00,7.6,,,0.5,S ,ISM,M1,PH,,8,SU
11/14/1990,11:10:00,7.6,,,1,M ,ISM,M1,PH,,8,SU
11/14/1990,11:10:00,7.6,,,2,AP,ISM,M1,PH,,8,SU
11/14/1990,11:10:00,7.6,,,3,M ,ISM,M1,PH,,8,SU
11/14/1990,11:10:00,7.6,,,4,BP,ISM,M1,PH,,8,SU
11/14/1990,11:10:00,7.6,,,5,M ,ISM,M1,PH,,8,SU
11/14/1990,11:10:00,7.6,,,6,M ,ISM,M1,PH,,8,SU
11/14/1990,11:10:00,7.6,,,6.6,B ,ISM,M1,PH,,8,SU
12/11/1990,10:10:00,7.3,,,0.5,S ,ISM,M1,PH,,8,SU
12/11/1990,10:10:00,7.3,,,1,M ,ISM,M1,PH,,8,SU
12/11/1990,10:10:00,7.3,,,2,AP,ISM,M1,PH,,8,SU
12/11/1990,10:10:00,7.3,,,3,M ,ISM,M1,PH,,8,SU
12/11/1990,10:10:00,7.3,,,4,BP,ISM,M1,PH,,8,SU
12/11/1990,10:10:00,7.3,,,5,M ,ISM,M1,PH,,8,SU
12/11/1990,10:10:00,7.3,,,6.3,B ,ISM,M1,PH,,8,SU
1/8/1991,9:36:00,8,,,0.5,S ,ISM,M1,PH,,7.8,SU
1/8/1991,9:36:00,8,,,1,M ,ISM,M1,PH,,7.8,SU
1/8/1991,9:36:00,8,,,2,AP,ISM,M1,PH,,7.8,SU
1/8/1991,9:36:00,8,,,3,M ,ISM,M1,PH,,7.8,SU
1/8/1991,9:36:00,8,,,4,M ,ISM,M1,PH,,7.8,SU
1/8/1991,9:36:00,8,,,5,BP,ISM,M1,PH,,7.8,SU
1/8/1991,9:36:00,8,,,6,M ,ISM,M1,PH,,7.8,SU
1/8/1991,9:36:00,8,,,7,B ,ISM,M1,PH,,7.8,SU
2/12/1991,10:40:00,7,,,0.5,S ,ISM,M1,PH,,8,SU
2/12/1991,10:40:00,7,,,1,M ,ISM,M1,PH,,8,SU
2/12/1991,10:40:00,7,,,2,AP,ISM,M1,PH,,8,SU
2/12/1991,10:40:00,7,,,3,M ,ISM,M1,PH,,8.1,SU
2/12/1991,10:40:00,7,,,4,BP,ISM,M1,PH,,8.1,SU
2/12/1991,10:40:00,7,,,5,M ,ISM,M1,PH,,8.1,SU
2/12/1991,10:40:00,7,,,6,B ,ISM,M1,PH,,8.1,SU
